G002502135|D-G036482035	0.000000
G002502135|D-G027077325	0.551663
G002502135|D-G002687935	0.604289
G002502135|D-G002502135	1.000000
G002502135	1.000000
D-G002502135	1.000000
G002495465|D-G002687935	0.957017
G002495465|D-G014189675	0.983233
G002495465|D-G002495465	1.000000
G002495465	1.000000
D-G002495465	1.000000
G014189675|D-G014189675	1.000000
G014189675	1.000000
D-G014189675	1.000000
G002687935|D-G002687935	1.000000
G002687935	1.000000
D-G002687935	1.000000
G014189685|D-G027077325	0.624973
G014189685|D-G037442905	0.929294
G014189685|D-G014189685	1.000000
G014189685	1.000000
D-G014189685	1.000000
G037442905|D-G037442905	1.000000
G037442905	1.000000
D-G037442905	1.000000
G027077325|D-G027077325	1.000000
G027077325	1.000000
D-G027077325	1.000000
G016187405|D-G036482035	0.176344
G016187405|D-G020723935	0.205110
G016187405|D-G002763265	0.237729
G016187405|D-G002790315	0.263366
G016187405|D-G017610385	0.302069
G016187405|D-G030620695	0.348906
G016187405|D-G016219455	0.368681
G016187405|D-G016180965	0.406182
G016187405|D-G030642125	0.435035
G016187405|D-G021161745	0.521032
G016187405|D-G002254545	0.577172
G016187405|D-G026397385	0.636426
G016187405|D-G018304615	0.658693
G016187405|D-G035289185	0.683114
G016187405|D-G038998625	0.707997
G016187405|D-G018920185	0.828432
G016187405|D-G016181005	0.841607
G016187405|D-G016187405	1.000000
G016187405	1.000000
D-G016187405	1.000000
G016187385|D-G016181005	0.868632
G016187385|D-G016187385	1.000000
G016187385	1.000000
D-G016187385	1.000000
G016181005|D-G016181005	1.000000
G016181005	1.000000
D-G016181005	1.000000
G016187415|D-G018920185	0.861319
G016187415|D-G016187415	1.000000
G016187415	1.000000
D-G016187415	1.000000
G016177025|D-G018920185	0.888673
G016177025|D-G016177025	1.000000
G016177025	1.000000
D-G016177025	1.000000
G018920185|D-G018920185	1.000000
G018920185	1.000000
D-G018920185	1.000000
G038998625|D-G038998625	1.000000
G038998625	1.000000
D-G038998625	1.000000
G016198705|D-G035289185	0.701493
G016198705|D-G027310405	0.720070
G016198705|D-G004297575	0.762122
G016198705|D-G016198705	1.000000
G016198705	1.000000
D-G016198705	1.000000
G004297575|D-G004297575	1.000000
G004297575	1.000000
D-G004297575	1.000000
G016213525|D-G027310405	0.750466
G016213525|D-G014238095	0.842601
G016213525|D-G016213525	1.000000
G016213525	1.000000
D-G016213525	1.000000
G014238095|D-G014238095	1.000000
G014238095	1.000000
D-G014238095	1.000000
G027310405|D-G027310405	1.000000
